"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Сложение","1","0","","0"
"0","","0","Форма данных","1","0","","0"
"0","","0","Покупка товаров","1","0","","0"
